utterance,hedge,L_context1,L_context2,R_context1,function,ID
the hea the headlamp failed not the bike oh yeah ca n't see anything oh well what happened ? so how did you what did you do ? so we sort of spent like an hour and half going at five miles an hour ye oh trailing on this cliff side with the sea booming at the oh terrifying,sort,RB,PP,VVN,pragmatic marker,S0510_2014
in Rome like sort of pantomime and stuff that were going on but not really like grand like things like Aristophanes and Euripides are sort of really just like not you do n't you only get that at these at these festivals even yeah so he had to be probably be really subtle if he,sort,NP,VBP,RB,pragmatic marker,S0510_2014
and then everyone 's oh really ? so excited to be in like pleased with themselves included yeah to be invited that they 're willing to sort of do anythi or any of the weird initiation ceremonies oh n like what ? what do you have to do ? yes what are they ? there 's like all sor,sort,JJ,TO,VVP,pragmatic marker,S0510_2014
and that yeah love this and I 'm getting paid for it how good is life ? oh shit yes good sometimes I come out of lessons and I feel sort of realty happy yeah good er sometimes I do n't sometimes I just hate them Mondays my Monday class though is it 's getting better you said,sort,PP,VVP,NN,pragmatic marker,S0510_2014
are horrible and then eventually it kind of got really tired and sat on a on a a sort of quite low lying branch and then all the crows sort of rested on the top of the tree and took turns in like pecking it no I watched it for like an hour bit it 's and all and then the worst bit,sort,DT,NNS,VVN,pragmatic marker,S0511_2014
mm oh and then they surround it and and attack it that 's nature but it was so loud that 's nature all the squawking it was like a sort of Saturday afternoon as well yes oh really ? were there other people around on the park yeah ? but the by the sort of certain like maj like flying,sort,IN,DT,NP,propositional,S0511_2014
big dollar er yeah that 's about it we have n't got many other photos of it actually at the moment your erm I wa was wondering how to sort of regard your dart album on Facebook is it some sort of like conceptual art gallery just of the same shots over and over again ? there,sort,WRB,TO,NN,pragmatic marker,S0511_2014
it 's not cheap no it was actually started apparently by a a guy who started out er rummaging through dustbins and rubbish bins and sort of selling stuff or that kind of thing and er he just built it up built it up er and then but how would he how did he start it then ? well I I do n't,sort,NNS,CC,VVG,pragmatic marker,S0511_2014
so it 's just the way things are you know ? and er yeah you know the the young kids the they call them beurres in France which is always sort of a strange nickname for them cos beurre tran literally used to mean butter right but now the butters but why do they call them that ? I,sort,VBZ,RB,DT,pragmatic marker,S0511_2014
of money could be on standby of course so I might have t if I 'm unlucky I might have to wait around a bit oh what like t a couple of days sort of thing ? I do n't know n I I think normally they try and get you on the next flight you know if you ca n't get on so but if er if er chooses,sort,IN,NNS,NN,propositional,S0511_2014
I think he gives a bit of a you know people were f people liked him ? my mother hated him obviously oh of course yes but erm he was a sort of institutionalised institutional buffoon oh okay yes I understand Reginald Bosanquet I forgot to press the thing Reginald Bosanquet oh it has n't come out,sort,VBD,DT,VVN,propositional,S0511_2014
these ad er adverts did you not think that looks very old fashioned ? no cos it was n't then but but we did n't live our lives in this sort of half colour half I think you did we did n't all walk around talking like this to each other either did you not ? life was fairly normal,sort,IN,DT,DT,propositional,S0511_2014
her I mean thank god I have and on cos they more or less run the joint because I was dealing with and everything yeah you know all the sort of the mundane run of the mill things I do n't have to check up that they 've done it cos they do no you know they do yeah yeah it 's just been,sort,PDT,DT,DT,propositional,S0511_2014
of our time of our time in Peru but I do n't know if I 'm gonna have time why do n't you make him a scrapbook of all the since you met the sort of time scale from when we met yeah I could but I mean I 've got to find the time erm to go to get all the photos printed have n't I ? yeah well I,sort,VVD,DT,NN,propositional,S0511_2014
not having that door was a good help anyway yes have you seen some houses now where instead of having doors like this mm ? it they literally sort of roll back ? so the whole wall oh right no I have n't seen that goes back so you feel you 're sitting outside in your lounge yeah that 's,sort,PP,RB,NN,pragmatic marker,S0511_2014
yeah okay take care what were we saying ? er we were talking about these blooming diagnosis stuff that 's it ? yeah yeah you know they sort of plug into a computer programme they do yeah and they have this it 's the same they said something about how you know the one one one,sort,VVP,PP,NN,propositional,S0511_2014
it 's just there is n't a lot of room for it to come up but erm mm it it 's coming up mine was sore for years on and off yeah they they they sort of settle down and do nothing for a few weeks mm and then they suddenly start pushing again and it was oh several years before well this,sort,PP,PP,VV,pragmatic marker,S0511_2014
"smell on his breath just like you 'd been on spirits all night or whatever , any sort of you know , wine and it 's not a beer sort of smell . But I mean he 's I mean Ivan said to",sort,YCOM,DD,PPY,propositional,S0511_1994
steady whether it 's up or down exactly yeah but your mother 's the opposite she sort of gets slower and slower going up and then she sort of leaves me behind on the way down the other thing is erm er that we need to get our I need to go to email and we need to make our decisions,sort,RB,PP,VVZ,pragmatic marker,S0513_2014
your Minecraft that 's why but I because I had to pay for Minecraft anything really that you have to subscribe and pay for has a sort of password so did you you look at the new Aquilla magazine yesterday ? I did n't really have that much time to you did n't have much time,sort,VHZ,DT,NN,propositional,S0517_2014
pond the raised pond and a place to run around and activities to the code cracking thing from the Knights Templar and they had that sort of tray with mosaic tiles did n't they ? do you remember ? mm think so and was kind and gave you one of her tiles that she was playing with,sort,VHD,DT,NN,propositional,S0517_2014
getting there guys we 've not go very much to do I 've had a look by the way at the cinema and there 's nothing amazing on duh that s sort of cheap so maybe you might want to do that with dad or maybe we could just watch Harry Potter today Harry Potter ? harry Potter six are,sort,WDT,VBZ,JJ,pragmatic marker,S0517_2014
also purple ones and all sorts of different colours but he brought that one over and but the m made sure that that was the one that sort of took hold so that 's why we have but orange carrots the most erm the ones which are like here now are the red no the orange the purple,sort,CD,DT,VVD,propositional,S0517_2014
of being knowing what I was talking about you have to do n't you ? mm that 's what I hate about ' s erm er Samsung Galaxy Tab cos when I sort of say things like that she 'll say hang on a minute open this oh R one 0 one find out no it was n't built there and I 'll sort of go oh mm you,sort,WRB,PP,NN,pragmatic marker,S0517_2014
do ? yeah absolutely you know it 's what they 're being paid for is n't it ? yes it is I 'm gonna phone anyway because erm and ' s started to sort of say things and she never has before and she was telling me a story yesterday where a lad was giving her it 's the physics teacher,sort,VVD,TO,NN,pragmatic marker,S0517_2014
well the thing is I just think it 's a bit sad to be analysing it like that yeah cos the story has been there for a long time it s sort of a mythical thing is n't it ? so it 's a bit boring for everyone to go oh no we have n't found it because maybe there was a monster and maybe,sort,PP,VBZ,DT,pragmatic marker,S0517_2014
same colour they do they do do you know what ? when I bought them yeah they were supposed to only have one day in you know ? in so were sort of sell by the twenty-fourth or something yeah but they 're not like all open and they 're not no and they 're still to open up,sort,RB,VBD,NN,pragmatic marker,S0518_2014
they just swallow a spider but if I was going to do it I would have to chew and chew and chew because I would always think that it was sort of somehow alive in my stomach do n't you think ? it would be horrible would n't it ? mm but I could never do that in a million years actually,sort,PP,VBD,RB,pragmatic marker,S0521_2014
s also a film called The Boy in the Dress ah erm yeah The Boy in the Dress is basically a life story about David Walliams well it sort of is and he he c he likes boys and girls as a in fact so I think what I 'm asking you and we 're not really sure is if you know do you want to,sort,RB,PP,VBZ,pragmatic marker,S0522_2014
women automatically by law get er well it 's well over a month oh right off if their partner dies their husband yes well it s sort of sensible yeah dies and they 're supposed to shut themselves away yes just be in the house they can have visitors mm as many visitors as,sort,PP,VBZ,NN,pragmatic marker,S0523_2014
to entertain the people hanging around and there was lots of kids hanging around watching their parents and they were playing some sort of old-fashioned music and then the DJ said just to let you know it is going to be cheese hour in two minutes because when you get really naff music,sort,VVG,DT,JJ,propositional,S0523_2014
or no so that 's er Sicily or mm anywhere like that in a day no yeah that 's still good though yes yes and you you could have a different sort of holiday you could have stop off yeah stop off have different centres that you visit and as you make your progress to the furthest,sort,DT,JJ,NN,propositional,S0523_2014
? I think they are but I think I do suspect sometimes with comparison sites is one way that they make their money is to try and erm sort of do it by a ranking of which insurer has paid them the most to try and sort of broker a bargain like that yes really ? bit,sort,CC,NN,VV,pragmatic marker,S0523_2014
just separate publications yes yes obviously Mice and Men is an American based erm novel erm yes it 's basically focuses on the sort of the big dream attitude in America that was present in the I think it was the nineteen twenty thirties mm yeah thirties yeah that,sort,IN,DT,DT,propositional,S0523_2014
that happens all the time sir so yeah do you not want to have a word with your operatives ? yeah when you say operatives that sounds like sort of black ops you know yeah someone 's going to break into your house in a black balaclava and empty your bin out yeah they are called,sort,VVZ,IN,JJ,propositional,S0523_2014
and one thing and another because what one thing Churchill could do was talk and convince people and he could always come out with sort of some cliché mm the punchline yeah was n't it ? yes he could always come out with things like that mm er and er but behind the sce he was n't,sort,RP,IN,DT,pragmatic marker,S0523_2014
I ca n't find my English one yes mm mm I 've erm bought a a new er cartridge for my printer oh yeah yes so uhu have n't been they seem to sort of risen in price a little bit but er I managed to get one for what I was sort of hoping to mm get it for was that ? yes it was mm mm mm it tends,sort,VVP,TO,VVN,pragmatic marker,S0523_2014
it cos she thought she 'd prefer the placements cos when she was at she just loved yeah being in the schools but now she s with sort of like-minded people and it 's notch up and all really passionate about the subject and she 's gained loads hey of confidence with getting that,sort,VBZ,IN,JJ,propositional,S0525_2014
of the computer ? big change yes to what now ? erm I do n't think it will we still meet everything ? I I think so well mm we ve got sort of two computers mm well even three computers and they 're all a slightly different yeah set up set up which mm I 'd be very surprised well it,sort,VHP,VVN,CD,pragmatic marker,S0525_2014
always get a seat do you ? no and you see them crowded are n't they some of them well yeah mm mm I would say that 's generally more the sort of region local and regional trains that yeah are more crowded because mm it 's Intercity or Eurostar it 's usually a reservation is,sort,RBR,DT,NN,propositional,S0525_2014
I said sound quite clear oh yes I said we 'll take them because if he does n't want them we can always bring them back we wo n't chuck them sort of thing like but er er and they were not all that old were they ? no and these terms and words you know posing in these questions mm you,sort,VV,PP,NN,propositional,S0525_2014
th but she said it was all calm but they did n't know that they were going there they no and then and even in the shower block there were sort of showers and they just said strip off cos you 're just going into the shower yeah awful you know oh it 's just yeah horrible it 's ju it 's I,sort,EX,VBD,NNS,pragmatic marker,S0525_2014
kinds of religions well that 's o that 's okay if that 's adopted that 's sort of to to so that you know you 're aware of all other s sort of religions but mm but on the other hand you know school you 're limited time for you 've got a limited time in school for for teaching kids I,sort,JJ,NN,NNS,propositional,S0525_2014
it on this website and you get like a hundred quid for it Ebay well yeah I suppose the only deals it you know and not only that like you sort of getting rid of it you 're getting money it 's not as yeah the person receiving it has no I mean I guess they in a way cos not only receiving,sort,IN,PP,VVG,pragmatic marker,S0529_2014
twelve minutes for this ? twelve minutes ah oh I 'm just trying to get my head round that so it 's just the way sort of it 's it s really sort of simple it s just the way you respond to something it 's the way you receive it yes but it 's in classics it 's interesting because,sort,VBZ,RB,NN,pragmatic marker,S0529_2014
it and look at it new and look at it new yes well I mean to some extent we do that anyhow do n't we ? yeah it 's it 's that 's why it s like sort of simple but yes I th I just think it 's a bit it 's helpful to think erm try and get into the mindset of of sort of Greek and Romans but it 's,sort,VBZ,IN,NN,pragmatic marker,S0529_2014
Bell yeah which is like a brilliant album erm and then they 've just kind of edited and rerecorded parts and make it a modern sort of Pink Floyd album that 's really exciting mm tempted tempted to buy that well think you think there 's pre-order when 's it out ? it 's,sort,DT,JJ,NP,propositional,S0529_2014
it but everyone agreed that it did n't taste like green which is quite worrying really I think we 'd all sort of had this break this sort of synaesthesia moment and we were like yeah it does n't but everyone everyone just agreed it should taste red it should be red it should have been,sort,NN,DT,NN,propositional,S0529_2014
follow mm really really heavy accent really peculiar grammar and and erm even I found it difficult so and erm you know my mum would sort of sit there smiling and nodding sometimes you know erm but er she grew oregano in her garden mm mm erm as possibly Italians will you,sort,NN,MD,NN,pragmatic marker,S0529_2014
? go as wear some stilts and go as yeah you could go as personal things you could go as pregnant this is not offensive these are the sort of things that ll end up being offensive yeah probably maybe not then erm what did people go as last year ? Miley Cyrus yeah you see that,sort,VBP,DT,NNS,propositional,S0529_2014
for you erm my friend er is just fin or he 's finished his journalism er masters whatever qualification it is and he was writing his sort of final piece on erm he was talking about graduates who have n't done graduate schemes they 've done something else mm so the first,sort,VVG,PPZ,JJ,propositional,S0529_2014
and were still like ca properly campaigning and then yeah do you remember when me and fell out and then no like you and were a bit sort of dodgy and yeah and me and were a bit a bit like oh yeah so we sat next and so we swapped and then that time we did the dinner party thing we,sort,DT,NN,JJ,pragmatic marker,S0529_2014
? is that the language ? mm do you so do you speak Maltese ? no we er er picked up odd words from going there because we 'd go there every sort of two or three years as children and you know you learn yes no hello goodbye yeah mm and then some of the erm the food where there is,sort,RB,DT,CD,propositional,S0529_2014
mm and you had the creamy colour mm stockings and the shorter skirt which took some manoeuvring and then I had a creamy t colour sort of slightly openwork jumper I used to wear mm tucked in mm you know and then and it was the era of the pale lipstick as well the mascara and the pale,sort,NN,NN,RB,pragmatic marker,S0529_2014
I mean in and the madness of it is is you when you drink you los the more you lose your self respect yeah it 's madness is n't it ? sort of weird psychology weird stuff especially if you remember everything you did or said oh thank god I do n't I mean I I yeah god terrible dr,sort,PP,SENT,JJ,propositional,S0529_2014
what 's the one ones that go in the water ? ca n't remember now m amphibians ? diplodocus ? sorry ? like diplodocus no but it looks sort of slightly like a diplodocus but the reason why they have these legends is because at some point they will 've seen you know the,sort,PP,VVZ,RB,pragmatic marker,S0529_2014
usually only if you 've had an accident yeah you break a rib and then it punctures your lung yeah but yeah supposedly tall and skinny sort of slim young girls get it and erm I do n't know it must be cause some must be to do with the everything is so tight in there I do n't know yeah,sort,CC,JJ,JJ,pragmatic marker,S0529_2014
closer to Cambridge yeah cos ' s so much into his music he ca n't find reliable like-minded musicians around mm those that he has sort of had conversations with and even some that he did form a band with briefly they were more Cambridge side yeah they were a lot closer to,sort,PP,VHZ,VHD,pragmatic marker,S0529_2014
that and what 's n the point of evolution and ? like philosophical thinking and stuff yeah I like I like thinking about all that sort of stuff and like yeah it 's good fun I have chats and w one of my mates is quite similar she does as well so whenever we get together we end,sort,PDT,DT,NN,propositional,S0529_2014
yeah yeah he said well we ca n't leave it there because er the cats 'll get it yeah or another bird will come along yeah yeah so I sort of poked just to see if it yeah was al cos it was still on its feet yeah it was just like fe there was feathers all around it yeah and I 'm like,sort,RB,PP,VVN,pragmatic marker,S0529_2014
deserve it so and he will meet the right one yeah does he like being in relationship do you reckon more ? yeah yeah he does he likes to sort of be secure and kind of thing ? he 's just yeah he erm you either are or you 're not are n't you ? I think he said he 's talking to a girl in in,sort,VVZ,IN,VB,pragmatic marker,S0529_2014
talking really about the clean nine they do a skincare range now and everything yeah mm but like they 're trying to get me to sort of like do more and more and I 'm like to be honest you know I 've got my own skincare range I do n't need anything else oh yeah no no that,sort,PP,TO,JJ,pragmatic marker,S0529_2014
we me we met up with oh that 's nice yeah they 've got very modern offices now yes but they used to have them in sort of street it was sort of solicitors' place mm now they 've got a m some very modern offices yeah just outside and I said they 've got about twenty-five staff there now,sort,PP,VBD,NNSZ,pragmatic marker,S0529_2014
always thought of Peterborough as a big city and the older I 've got I 've realised how little it actually is mm but when you get this sort of thing that s that makes us unique or puts us in not in the headlines but puts us in the news erm I get very excited mm yeah I think it 's,sort,VVP,DT,NN,propositional,S0529_2014
is a lot to be said for it is n't it ? because it you you it keeps your spirit going keeps you going oh definitely yeah yeah and even just sort of day-to-day you see that people people that you live with or that you work with mm mm mm you know you only need to say them what 's what 's got,sort,RB,RB,JJ,pragmatic marker,S0529_2014
and I was like what 's that ? and all of a sudden I heard de de de de and two things jumped on me they were like the cats and they they sort of looked like who are you ? who are you ? yeah cos that 's their room normally like the one they tend to do and like sit on the windowsill in,sort,PP,PP,VVN,pragmatic marker,S0530_2014
pull a face I wish I did n't pull faces you do actually it drives me I don I do n't want to be but it confuses the fecking cos you do kind of sometimes you put on faces that are completely contradicting your emotions which means that like you know ? people think you 're just,kind,PP,VVP,RB,pragmatic marker,S0530_2014
and we 'll put the vegetables out and nobody eats them apart from me and I would actually if you got me like if you got me some broccoli some sort of pure broccoli yeah I 'd make like a forest in there and make it all nice and avocado I like avocado oh in a wrap ? yeah all nicely mashed up,sort,NN,DT,JJ,propositional,S0530_2014
your age oh I did I did n't know that least that 's what your that bearded men says on the TED talk oh okay yeah there seem to be a sort of a few different ways people are trying to s I do n't know cos they cos you go on about telomeres about what ? telomeres telomeres,sort,VB,DT,DT,propositional,S0530_2014
"take Laura Ashley then ! Ha ? Take Laura Ashley . Go in one Laura Ashley 's a bit sort of sort of , more mum 's age stuff in n it ? It 's not Well that dress Sophie 's got in",sort,RR21,RR22,RR21,pragmatic marker,S0530_1994
that he she would have minded that she could n't s say I am the mother here mm but she did she had them every Christmas and erm any sort of occasion that that,sort,VV,DT,NN,propositional,S0530_2014
especially do n't er cos they think oh that 's what it was like in the past and the past is that yeah does n't really include all these sort of erm things but he was in Africa you see yeah for the first two that er yeah came out for a while right but I do n't think he met till she was,sort,PDT,DT,NN,propositional,S0538_2014
always like I 'm not I 'm not racist but and then they say so yeah and they always and then they say something and it 's like th NN IN kind of sounds like ,kind,that,that,NNS,pragmatic marker,S0538_2014
up and she nearly collapsed under the whole pressure of it like how badly she wanted it all to be perfect really ? and it was like a sort of like epiphany moment yeah she 's been really she 's been I was gonna say really bad but no she 's been like that for a long time so this led to,sort,IN,DT,JJ,propositional,S0540_2014
up ? the queue went all the way down the road past the other pub on the yes opposite to the beginning of the park so it was a it was about sort of two two hundred and fifty yards for where ? for the oh did you get anything there ? well a lot of those people were collecting their,sort,VBD,RB,CD,pragmatic marker,S0540_2014
but what a difference it makes actually why did you stop ? well I mean out in Greece I tend not to wear them you know mm if I m just sort of slogging around at home and I do n't I tend to think of the you know going out put earring this was the ear that was the problem one actually,sort,VBP,RB,VVG,pragmatic marker,S0540_2014
grandad had bought it for him a while back no no no erm him and a friend er went to an auction at of electrical actually it was mainly sort of like radios and things like that CB radios and that because they 're both into mm CBs yeah is it CBs that was the old term for it ? well it,sort,VBD,RB,JJ,propositional,S0540_2014
I agree with you like if you 're paying nine thousand pounds industry has got input into various different universities geographically or sort of strategically or whatever but there are some universities that are just not doing anything about industry input they 're not partnering,sort,RB,CC,RB,pragmatic marker,S0540_2014
you want something literary but with an philosophical side it 's like there 's there 's a girl in the year above and her her dissertation on sort of like regret in Seneca oh oh yeah that sounds like a good one that 's a good one yeah Seneca is so rich regret is a good topic too or,sort,NN,IN,JJ,propositional,S0540_2014
to be eighty centimetres and the gaps to be that because I I did n't want the top of the railing to be you know cut off impin the view sort of thing you see impinging on the view yeah so that 's actually what we do have yes but as the guy who installed it said you know this,sort,DT,NN,NN,propositional,S0542_2014
have our sort of pre yeah it 'll be lovely well yeah you know it 'll be nice and we you know it 'll we can sit in comfort you know like not sort of sitting on it 's a pity erm they have n't upgraded yes cos she downgraded yes because could n't cope with a no ' s having the outside,sort,IN,RB,VVG,pragmatic marker,S0542_2014
you see human nature like in Cumbria with the floods I 'm not I 'm I know it 's on a t completely different scale Auschwitz but you sort of see how one human could do something to another thank you does that feel better ? yeah thanks but then you see everybody,sort,CC,PP,VV,pragmatic marker,S0542_2014
where once you 've gone through all the cards everybody knows the answers and ? I do n't think so no no oh right so you can well mm sort of but no not really right basically sort of but no not really somebody on our team will read out a card for example words that start,sort,RB,NN,CC,pragmatic marker,S0555_2014
s a bit mean is n't it ? to keep and said er she 's mentioned it about four times what she 's bought for his birthday after buying some sort of pink netty scarf that did n't even look good on the dog mm so what was I gonna say before that ? what was I saying then ? mm oh I do n't know,sort,VVG,DT,JJ,propositional,S0555_2014
". He has a little bit of a scratchiness in one of his eyes Mm ? erm and phoned up and sort of semi made an appointment , not exactly Mhm . erm because Mr was abroad and the girl",sort,RP,CC,NN1,propositional,S0558_1994
this one oh okay cos that 's where the job is er well it 's for so up there mm fair enough makes sense it 's miles away mm back of beyond some sort of desolate area I imagine yes mm it c well you do n't wanna take your own car up there because if you do end up going on-site you 'll be erm down,sort,IN,DT,JJ,propositional,S0558_2014
n't know that no mm yeah yeah I dunno well that could have been the reason the train was delayed that 's your next project Google the sort of the er reasons for deaths between different age groups yes report back uncooked quesadillas yeah yeah food poisoning from oh,sort,NP,DT,DT,propositional,S0558_2014
hours on a Monday yeah and spend most of Tuesday crying curled in foetal position oh yeah yeah so I always have huge I 've always had sort of Sunday night anxiety but especially on after holidays mm yeah and I 'll be a lot better tomorrow if I know or I 'll be a lot better tonight,sort,RB,VHN,NP,pragmatic marker,S0558_2014
Ireland I have erm there was friends next door their son has autism and mm hm they got a lot of materials from they you know they have sort of support workers and what have you and they got a lot of stuff emailed to them and I worked in a large organisation at the time so was able to,sort,PP,VHP,NN,pragmatic marker,S0558_2014
that erm you were you were dragging in dirt on your boots or on on the on the on the spray pr pressure washer cable so that was a bit sort of er you know if you 're careful I do n't it was pointless really it seemed to me did did he did he say why ? because do you wanna,sort,DT,NN,NNS,propositional,S0558_2014
be quiet I said I do n't think she did no she would n't have picked up on it I do n't think I d I do n't think she she saw I was just trying to sort of say no we wo n't talk about that now and before you knew it was er yeah and uncle just caught the end of con oh talking about Boomers,sort,VVG,TO,VVP,pragmatic marker,S0558_2014
and I walked over to pick the girls up from the concert mm and walked back and mentioned something about oh I love erm being er sort of like shopping of an evening I s I said oh I love evening shopping I said one because it 's quieter but I d I just really enjoy going out in the,sort,VBG,NN,JJ,propositional,S0558_2014
nose with sweet smoke G actually I 'll shoot it with you this better not be disappointed by this right okay I do wanna t I do wanna sort of taste it as well though smell it you can do that second yeah it 's gonna be tasted right mm blimey right it sort of smells of er smells,sort,VVP,VV,NN,pragmatic marker,S0558_2014
in her life and you know ? how how that changed over the course of her life I mean in the end she was sort of well she always was she a sort of manic depressive really yeah erm and the depressive side of her character got the better of her in the end right oh dear and the final,sort,PP,DT,JJ,propositional,S0558_2014
have their own named doctor mm mm and anyone with a long-term condition has gotta have their own doctor that makes sense so they kind of can request to see them but then again you be could be waiting a couple of weeks to see them yeah do you know what I mean ? yeah so it 's it 's,kind,IN,PP,MD,pragmatic marker,S0558_2014
when becau then when we cut it open it wo n't be very good cos the all the I know why cos all the icing would just sink down erm it s kind of that but the icing would be too runny yes that is the reason why mm it needs to cool down and become a sticky icing not a very very,kind,PP,VBZ,WDT,pragmatic marker,S0558_2014
n't like it because it 's rose flavour and I hate rose mm rose and violet-flavoured things I really do n't like I wonder why it s sort of that one stuck over though it was n't sort of like I do n't know yeah funny thing is n't it ? cos it 's not meant to be rose-flavoured,sort,PP,Z,WDT,pragmatic marker,S0561_2014
yeah so I had my singing lesson earlier oh yes yeah yes mm sorry can I just not you know just take in the the brilliance oh of of these sort of chains that that,sort,IN,DT,NNS,propositional,S0562_2014
driver today and I 'm like mm no it 's fine but mm mm mm she 's just very sort of conscientious I suppose mm but at the same time quite sort of let s get this done yeah you know yeah mm which is nice that 's good that sounds just like you yeah the the did I say like the the,sort,NN,RB,VV,pragmatic marker,S0572_2014
only walk around now that 's probably better right so I see the workmen a lot they 're the only people I see on the road cos it s sort of their shortcut to the car park mm right okay oh right yes yeah but they can only walk now they ca n't drive to get to know those yes I know them,sort,PP,VBZ,PPZ,pragmatic marker,S0579_2014
less solved loads of sorta  theories or he did n't,sorta,NNS,IN,NNS,pragmatic marker,S0579_2014
through such a series of films really yeah there 's not going to be that opportunity again for people no no yeah and in such a lovely sort of cos they ve all commented on it in interviews of what a sort of family atmosphere it was really you know ? yeah yeah yeah totally,sort,DT,JJ,NN,propositional,S0579_2014
which was a part time it was only like I do n't know fifteen hours a week or something and it was a lower qualification than a HND but sort of two thirds of the way through that first year I was enjoying it so much and time you know mm everything was working out in terms of,sort,NP,CC,CD,pragmatic marker,S0579_2014
and stuff and just yeah yeah yeah just into that mechanic just do it mode it was exactly that you 've got it spot on and er and so was sort of sat there and I just began right okay so now we need to do this and I was just talking it through and doing it and like can you get me this,sort,RB,VBD,VVN,pragmatic marker,S0579_2014
artist mm also that church I think they have erm on a Sunday it says they often have a sort of folk singing and all the rest of it Croatian sort of singing and dancing outside the church so that might be a oh right nice might be interesting yeah definitely yeah it looked nice it,sort,PP,JJ,VVG,pragmatic marker,S0579_2014
number then the defender wins oh and it they 've got a slight advantage with that way but they 've got a disadvantage cos they only kind of they ve gotta throw less dice okay so you you can throw three dice and if she so for example if she rolls a four now and you roll a four,kind,PP,RB,PP,pragmatic marker,S0579_2014
paper ? he di yeah I had he got me to like hold it in my mouth it was really weird but yeah right and then yeah he did n't really I just sort of looked quite serious and miserable but and he just took the photo yeah it was cool oh there were n't any snakes slithering about were,sort,PP,RB,VVN,pragmatic marker,S0579_2014
just say yeah we 'll give you an exemption certificate mm cos of your low income yeah but that was the same thing when they had this sort of you know you 've got er exemption or or a woman's stamp or something which did n't give you nothing no yeah you know if you if you sort,sort,VHD,DT,PP,propositional,S0579_2014
time but then in another science fiction you 've got or if you live so much people get bored and they just kind of want to go out they kind of they go into virtual worlds and hibernation or whatever wake me in ten thousand or wake me in a hundred wake me in five thousand,kind,IN,PP,PP,pragmatic marker,S0585_2014
because of the big mm land er big m m m range of mountains on the left hand side of the country mm but and they 've always been very kind of they ve always been quite warring kinda nation and they 've got had warlords and and that sort of thing and and very and they have,kind,VBN,RB,PP,pragmatic marker,S0585_2014
? I 'll have to live at home yeah yeah erm but that 's for a digital marketing company yeah in in central London and they said it s kind of they really want to employ someone so she said essentially you know it will be kind of like an extended job interview so if I get that,kind,PP,VBZ,PP,pragmatic marker,S0587_2014
one thing what do you mean ? erm like the family that they do n't know she does the hoop do you mean ? yeah yeah well I I think they re kind of they kind of think she 's quite cool but they 're not really they 're just used to her being as she is so they do n't know that she was in,kind,PP,VBP,PP,pragmatic marker,S0589_2014
s the people from the southern states because you know they have like you sort of more olive s type skin yeah and they are kept in sort of the more menial jobs yeah et cetera but erm no I mean the Russians I I just like them and you know you would n't go there for the,sort,VVN,IN,DT,pragmatic marker,S0589_2014
the whole thing of getting the Union Jack and ripping it out of the hands of BNF and BNP yeah they did that erm even though it was sort of a very muscular form of it it was n't the nationalism and you could see that you know that it tried to push the they made it safe,sort,PP,VBD,DT,pragmatic marker,S0589_2014
or anything he did n't want that and off he went oh and that was it he said I 've now got got time to try another one so he 's er they re sort of they re bonuses for us if we can we get paid for each one we do but and we 're they they like to find five in an area but if they have n't,sort,PP,VBP,PP,pragmatic marker,S0589_2014
there were an awful lot of people around who want to have a conversation but when you 're in a a partnership for a long time you sort of almost become the other person you were actually thinking what they 're thinking and you actually do n't have as good a conversation as,sort,NN,PP,RB,pragmatic marker,S0590_2014
if it 's practised properly it has a beneficial result mm mm yeah yeah yeah and a lot of erm Chinese medicine all the herbs and that sort of thing they re the origins in a lot of proprietary medicines today mm mm and that 's worth erm thinking about yeah I I yeah I think,sort,CC,DT,NN,propositional,S0590_2014
but and they 've always been very kind of they 've always been quite warring kinda nation and they 've got had warlords and and that sort of thing and and very and they have n't been really interested to go outside but at one stage the emperor was thinking about doing more,sort,CC,DT,NN,propositional,S0590_2014
yeah and just carry on as if they 're in Korea as if they 're in Korea yeah yeah yeah yeah you know sit down you know wear flip flops and sort of like sit down at tables like this and ch ch ch to waiters and all this and you know they 're completely oblivious of of wow what of how,sort,NNS,CC,JJ,propositional,S0592_2014
know are v pretty erm affluent erm group of people who getting well educated and all that sort of thing and then you 've got the the sort of peasant farmers who who are just scraping a living it 's it 's a real erm they have got a real big problem so erm just as sort of an aside on that,sort,DT,DT,NN,propositional,S0592_2014
ship there was a erm a chap who erm purportedly was related to er the the erm the emperor's family mm er and now he 's a i an artist sort of selling his right wares etcetera but he he was quite a good artist actually erm but clearly that was much more acceptable than erm you,sort,DT,NN,VVG,pragmatic marker,S0592_2014
who I were at school with who bullied me are on my Facebook so you can see how shit their life is and you 're like look what I m doing sort of thing yeah and that 's why and that 's why I brag a lot not because my life is that amazing I make out it 's more amazing than it is on,sort,VBP,VVG,NN,pragmatic marker,S0592_2014
really have they got a climbing frame there ? mm not really they 've kind of got erm like no erm more climbing wall type thing so sort of rounded slopes with erm climbing wall holds bolted on to them that 's a bit sophisticated down at erm yes it is yeah it 's not as,sort,NN,IN,JJ,propositional,S0598_2014
pays for me to be a member I wonder how many other of the ladies are me actual members and if they are erm whether we ought to have some sort of contribution in there because we are actually members and I sometimes think yes noth nothing big just just you know just some lines every,sort,VH,DT,NN,propositional,S0598_2014
